RowIndex,Tag,ID,Name,Icon,Type,Text,ChildrenJSON
50,CharFashionOrnament,50,,TopDecorate3_4,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024ManFenLianRenDengPai"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,27"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024ManFenLianRenDengPai"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,27"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
51,CharFashionOrnament,51,,,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2025QingRenJieYinLangMianJu"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,0"",""Rotation"":""120,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2025QingRenJieYinLangMianJu"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,0"",""Rotation"":""120,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
52,CharFashionOrnament,52,,TopDecorate3_6,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024BaiHeHuaHuaHuanNan"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024BaiHeHuaHuaHuan"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
53,CharFashionOrnament,53,,TopDecorate3_7,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2025TuErDuoHuDieJie"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2025TuErDuoHuDieJie"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
54,CharFashionOrnament,54,,TopDecorate3_8,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024ShengRiKuaiLe"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024ShengRiKuaiLe"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
55,CharFashionOrnament,55,,TopDecorate3_9,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2025XiaoHuXian"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2025XiaoHuXian"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
56,CharFashionOrnament,56,,,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2025ZhouNianQingJianXia"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2025ZhouNianQingJianXia"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,0,0"",""Rotation"":""120,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
57,CharFashionOrnament,57,,BackDecorate1_14,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2025ZhouNianQingJianXia01"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2025ZhouNianQingJianXia01"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,0,0"",""Rotation"":""120,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
58,CharFashionOrnament,58,Tinh Bàn,BackDecorate1_2,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2022ZSliu"",""BoneName"":""m_Bip01_Head"",""Position"":""0,45,-85"",""Rotation"":""100,0,0"",""Scale"":""0.4,0.4,0.4"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2022ZSliu"",""BoneName"":""w_Bip01_Head"",""Position"":""0,45,-85"",""Rotation"":""100,0,0"",""Scale"":""0.4,0.4,0.4"",""UseAdditiveShader"":""false""}}]"
59,CharFashionOrnament,59,Băng Hỏa Bàn,BackDecorate1_2,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2025FengHuangSiJi"",""BoneName"":""m_Bip01_Head"",""Position"":""0,-25,-220"",""Rotation"":""85,0,0"",""Scale"":""0.6,0.6,0.6"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2025FengHuangSiJi"",""BoneName"":""w_Bip01_Head"",""Position"":""0,-25,-220"",""Rotation"":""85,0,0"",""Scale"":""0.6,0.6,0.6"",""UseAdditiveShader"":""false""}}]"
60,CharFashionOrnament,60,Sinh Tử Bàn,BackDecorate1_2,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2025FengHuangWuJi"",""BoneName"":""m_Bip01_Head"",""Position"":""0,-25,-240"",""Rotation"":""85,0,0"",""Scale"":""0.6,0.6,0.6"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2025FengHuangWuJi"",""BoneName"":""w_Bip01_Head"",""Position"":""0,-25,-240"",""Rotation"":""85,0,0"",""Scale"":""0.6,0.6,0.6"",""UseAdditiveShader"":""false""}}]"
61,CharFashionOrnament,61,Sắc Nguyệt Bàn,BackDecorate1_2,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2025Yue"",""BoneName"":""m_Bip01_Head"",""Position"":""0,20,-50"",""Rotation"":""80,0,0"",""Scale"":""0.4,0.4,0.4"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2025Yue"",""BoneName"":""w_Bip01_Head"",""Position"":""0,20,-50"",""Rotation"":""80,0,0"",""Scale"":""0.4,0.4,0.4"",""UseAdditiveShader"":""false""}}]"
