RowIndex,Tag,ID,GroupID,Name,ActivatePercent,SkillIDs,ActivateType,ActivateValue,Cooldown,Text,ChildrenJSON
237,Skill,55159,55000,Thập Tam Thái Bảo (Cấp 9),"{1,100}",5015019,HitTarget,-1,30000,,
238,Skill,55161,55000,Dục Huyết Tàn Thương (Cấp 1),"{1,100}",5016011,HitTarget,-1,30000,,
239,Skill,55162,55000,Dục Huyết Tàn Thương (Cấp 2),"{1,100}",5016012,HitTarget,-1,30000,,
240,Skill,55163,55000,Dục Huyết Tàn Thương (Cấp 3),"{1,100}",5016013,HitTarget,-1,30000,,
241,Skill,55164,55000,Dục Huyết Tàn Thương (Cấp 4),"{1,100}",5016014,HitTarget,-1,30000,,
242,Skill,55165,55000,Dục Huyết Tàn Thương (Cấp 5),"{1,100}",5016015,HitTarget,-1,30000,,
243,Skill,55166,55000,Dục Huyết Tàn Thương (Cấp 6),"{1,100}",5016016,HitTarget,-1,30000,,
244,Skill,55167,55000,Dục Huyết Tàn Thương (Cấp 7),"{1,100}",5016017,HitTarget,-1,30000,,
245,Skill,55168,55000,Dục Huyết Tàn Thương (Cấp 8),"{1,100}",5016018,HitTarget,-1,30000,,
246,Skill,55169,55000,Dục Huyết Tàn Thương (Cấp 9),"{1,100}",5016019,HitTarget,-1,30000,,
247,Skill,56001,55000,Vu Cổ Kỳ Thuật (Cấp 1),"{1,100}",5017011,HitTarget,-1,65000,,
248,Skill,56002,55000,Vu Cổ Kỳ Thuật (Cấp 2),"{1,100}",5017012,HitTarget,-1,60625,,
249,Skill,56003,55000,Vu Cổ Kỳ Thuật (Cấp 3),"{1,100}",5017013,HitTarget,-1,56250,,
250,Skill,56004,55000,Vu Cổ Kỳ Thuật (Cấp 4),"{1,100}",5017014,HitTarget,-1,51875,,
251,Skill,56005,55000,Vu Cổ Kỳ Thuật (Cấp 5),"{1,100}",5017015,HitTarget,-1,47500,,
252,Skill,56006,55000,Vu Cổ Kỳ Thuật (Cấp 6),"{1,100}",5017016,HitTarget,-1,43125,,
253,Skill,56007,55000,Vu Cổ Kỳ Thuật (Cấp 7),"{1,100}",5017017,HitTarget,-1,38750,,
254,Skill,56008,55000,Vu Cổ Kỳ Thuật (Cấp 8),"{1,100}",5017018,HitTarget,-1,34375,,
255,Skill,56009,55000,Vu Cổ Kỳ Thuật (Cấp 9),"{1,100}",5017019,HitTarget,-1,30000,,
256,Skill,56101,55000,Hoành Hành Vô Kỵ (Cấp 1),"{1,100}",5018011,HitTarget,-1,65000,,
257,Skill,56102,55000,Hoành Hành Vô Kỵ (Cấp 2),"{1,100}",5018012,HitTarget,-1,60625,,
258,Skill,56103,55000,Hoành Hành Vô Kỵ (Cấp 3),"{1,100}",5018013,HitTarget,-1,56250,,
259,Skill,56104,55000,Hoành Hành Vô Kỵ (Cấp 4),"{1,100}",5018014,HitTarget,-1,51875,,
260,Skill,56105,55000,Hoành Hành Vô Kỵ (Cấp 5),"{1,100}",5018015,HitTarget,-1,47500,,
261,Skill,56106,55000,Hoành Hành Vô Kỵ (Cấp 6),"{1,100}",5018016,HitTarget,-1,43125,,
262,Skill,56107,55000,Hoành Hành Vô Kỵ (Cấp 7),"{1,100}",5018017,HitTarget,-1,38750,,
263,Skill,56108,55000,Hoành Hành Vô Kỵ (Cấp 8),"{1,100}",5018018,HitTarget,-1,34375,,
264,Skill,56109,55000,Hoành Hành Vô Kỵ (Cấp 9),"{1,100}",5018019,HitTarget,-1,30000,,
265,Skill,55191,55000,Hư Bất Thụ Bổ (Cấp 1),"{1,100}",5019011,HitTarget,-1,30000,,
266,Skill,55192,55000,Hư Bất Thụ Bổ (Cấp 2),"{1,100}",5019012,HitTarget,-1,30000,,
267,Skill,55193,55000,Hư Bất Thụ Bổ (Cấp 3),"{1,100}",5019013,HitTarget,-1,30000,,
268,Skill,55194,55000,Hư Bất Thụ Bổ (Cấp 4),"{1,100}",5019014,HitTarget,-1,30000,,
269,Skill,55195,55000,Hư Bất Thụ Bổ (Cấp 5),"{1,100}",5019015,HitTarget,-1,30000,,
270,Skill,55196,55000,Hư Bất Thụ Bổ (Cấp 6),"{1,100}",5019016,HitTarget,-1,30000,,
271,Skill,55197,55000,Hư Bất Thụ Bổ (Cấp 7),"{1,100}",5019017,HitTarget,-1,30000,,
272,Skill,55198,55000,Hư Bất Thụ Bổ (Cấp 8),"{1,100}",5019018,HitTarget,-1,30000,,
273,Skill,55199,55000,Hư Bất Thụ Bổ (Cấp 9),"{1,100}",5019019,HitTarget,-1,30000,,
274,Skill,56201,55000,Mục Huyền Thần Mê (Cấp 1),"{1,100}",5020011,HitTarget,-1,30000,,
275,Skill,56202,55000,Mục Huyền Thần Mê (Cấp 2),"{1,100}",5020012,HitTarget,-1,28250,,
276,Skill,56203,55000,Mục Huyền Thần Mê (Cấp 3),"{1,100}",5020013,HitTarget,-1,26500,,
277,Skill,56204,55000,Mục Huyền Thần Mê (Cấp 4),"{1,100}",5020014,HitTarget,-1,24750,,
278,Skill,56205,55000,Mục Huyền Thần Mê (Cấp 5),"{1,100}",5020015,HitTarget,-1,23000,,
279,Skill,56206,55000,Mục Huyền Thần Mê (Cấp 6),"{1,100}",5020016,HitTarget,-1,21250,,
280,Skill,56207,55000,Mục Huyền Thần Mê (Cấp 7),"{1,100}",5020017,HitTarget,-1,19500,,
281,Skill,56208,55000,Mục Huyền Thần Mê (Cấp 8),"{1,100}",5020018,HitTarget,-1,17750,,
282,Skill,56209,55000,Mục Huyền Thần Mê (Cấp 9),"{1,100}",5020019,HitTarget,-1,16000,,
283,Skill,56301,55000,Tu La Lâm Thế (Cấp 1),"{1,100}",5021011,HitTarget,-1,65000,,
284,Skill,56302,55000,Tu La Lâm Thế (Cấp 2),"{1,100}",5021012,HitTarget,-1,60625,,
285,Skill,56303,55000,Tu La Lâm Thế (Cấp 3),"{1,100}",5021013,HitTarget,-1,56250,,
286,Skill,56304,55000,Tu La Lâm Thế (Cấp 4),"{1,100}",5021014,HitTarget,-1,51875,,
287,Skill,56305,55000,Tu La Lâm Thế (Cấp 5),"{1,100}",5021015,HitTarget,-1,47500,,
288,Skill,56306,55000,Tu La Lâm Thế (Cấp 6),"{1,100}",5021016,HitTarget,-1,43125,,
289,Skill,56307,55000,Tu La Lâm Thế (Cấp 7),"{1,100}",5021017,HitTarget,-1,38750,,
290,Skill,56308,55000,Tu La Lâm Thế (Cấp 8),"{1,100}",5021018,HitTarget,-1,34375,,
291,Skill,56309,55000,Tu La Lâm Thế (Cấp 9),"{1,100}",5021019,HitTarget,-1,30000,,
292,Skill,56401,55000,Hồi Thiên Phạp Thuật (Cấp 1),"{1,100}",5022011,HitTarget,-1,50000,,
293,Skill,56402,55000,Hồi Thiên Phạp Thuật (Cấp 2),"{1,100}",5022012,HitTarget,-1,49375,,
294,Skill,56403,55000,Hồi Thiên Phạp Thuật (Cấp 3),"{1,100}",5022013,HitTarget,-1,48750,,
295,Skill,56404,55000,Hồi Thiên Phạp Thuật (Cấp 4),"{1,100}",5022014,HitTarget,-1,48125,,
296,Skill,56405,55000,Hồi Thiên Phạp Thuật (Cấp 5),"{1,100}",5022015,HitTarget,-1,47500,,
297,Skill,56406,55000,Hồi Thiên Phạp Thuật (Cấp 6),"{1,100}",5022016,HitTarget,-1,46875,,
298,Skill,56407,55000,Hồi Thiên Phạp Thuật (Cấp 7),"{1,100}",5022017,HitTarget,-1,46250,,
299,Skill,56408,55000,Hồi Thiên Phạp Thuật (Cấp 8),"{1,100}",5022018,HitTarget,-1,45625,,
300,Skill,56409,55000,Hồi Thiên Phạp Thuật (Cấp 9),"{1,100}",5022019,HitTarget,-1,45000,,
