Symbol,Description,IncludeSign
magic_cooldown_with_buff,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_2,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_3,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_4,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_5,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_6,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_7,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_8,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_9,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_10,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_11,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_12,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_13,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_14,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_15,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_16,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_17,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_18,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_19,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_cooldown_with_buff_20,<color=#ffb3eb>Thời gian phục hồi khi có trạng thái <color=#00FF00>[{0}]</color>: <color=#FFFF00>{1}</color></color>,false
magic_reset_skill_cd,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_2,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_3,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_4,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_5,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_6,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_7,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_8,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_9,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_10,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_11,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_12,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_13,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_14,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_15,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_16,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_17,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_18,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_19,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_reset_skill_cd_20,Xóa thời gian phục hồi kỹ năng <color=#00FF00>{0}</color>,false
magic_remove_buff,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_2,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_3,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_4,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_5,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_6,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_7,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_8,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_9,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_10,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_11,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_12,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_13,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_14,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_15,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_16,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_17,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_18,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_19,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_remove_buff_20,Xóa trạng thái <color=#00FF00>{0}</color>,false
magic_reduce_skill_cd,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_2,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_3,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_4,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_5,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_6,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_7,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_8,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_9,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_10,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_11,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_12,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_13,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_14,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_15,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_16,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_17,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_18,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_19,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_reduce_skill_cd_20,Lập tức giảm thời gian phục hồi của <color=#00FF00>{0}</color>: <color=#FFFF00>{1}</color>,false
magic_total_targets,Ảnh hưởng tối đa: <color=#FFFF00>{0} mục tiêu</color>,false
magic_max_stacks,Cộng dồn tối đa: <color=#FFFF00>{0} lần</color>,false
magic_state_no_clear_on_death,Trạng thái không bị mất khi tử nạn,false
magic_remove_buff_on_max_stack,Xóa trạng thái <color=#FFFF00>{0}</color> khi cộng dồn tối đa,false
magic_remove_buff_on_max_stack_2,Xóa trạng thái <color=#FFFF00>{0}</color> khi cộng dồn tối đa,false
magic_remove_buff_on_max_stack_3,Xóa trạng thái <color=#FFFF00>{0}</color> khi cộng dồn tối đa,false
magic_remove_buff_on_max_stack_4,Xóa trạng thái <color=#FFFF00>{0}</color> khi cộng dồn tối đa,false
magic_remove_buff_on_max_stack_5,Xóa trạng thái <color=#FFFF00>{0}</color> khi cộng dồn tối đa,false
magic_remove_buff_on_max_stack_6,Xóa trạng thái <color=#FFFF00>{0}</color> khi cộng dồn tối đa,false
magic_limit_same_kind_trap,Số lượng tối đa: <color=#FFFF00>{0}</color>,false
magic_trap_destroy_on_touch,Tự hủy khi đối phượng chạm phải,false
magic_trap_auto_activate,Tự kích hoạt khi có mục tiêu ở gần,false
magic_trap_activate_every_period,Kích hoạt mỗi <color=#FFFF00>{0}</color>,false
magic_trap_group,,false
magic_buff_realtime_db,,false
magic_double_strikes,Phát động tấn công 2 lần liên tiếp,false
magic_triple_strikes,Phát động tấn công 3 lần liên tiếp,false
magic_buff_group,,false
magic_buff_no_save_db,,false
magic_remove_buff_on_timeout,Xóa trạng thái <color=#FFFF00>{0}</color> khi hết thời gian,false
magic_remove_buff_on_timeout_2,Xóa trạng thái <color=#FFFF00>{0}</color> khi hết thời gian,false
magic_remove_buff_on_timeout_3,Xóa trạng thái <color=#FFFF00>{0}</color> khi hết thời gian,false
magic_remove_buff_on_timeout_4,Xóa trạng thái <color=#FFFF00>{0}</color> khi hết thời gian,false
magic_remove_buff_on_timeout_5,Xóa trạng thái <color=#FFFF00>{0}</color> khi hết thời gian,false
magic_remove_buff_on_timeout_6,Xóa trạng thái <color=#FFFF00>{0}</color> khi hết thời gian,false
magic_trap_always_visible,,false
magic_special_res_id,,false
magic_mark_hp_from_owner_p,Sinh mệnh: <color=#FFFF00>{0}%</color> máu của chủ nhân,false
magic_buff_remove_on_move,Di chuyển sẽ làm mất trạng thái,false
magic_buff_remove_on_action,"Sử dụng vật phẩm, kỹ năng sẽ làm mất trạng thái",false
magic_can_positive_remove,,false
magic_fall_from_mount,Đánh ngã khỏi thú cưỡi,false
magic_force_monster_attack_self,"Thu hút quái vật tấn công bản thân: <color=#FFFF00>dưới cấp {0}, bao gồm cả cấp {0}</color>",false
magic_revive_on_death,"Giúp bản thân có thể sống lại khi chết, phục hồi: <color=#FFFF00>{0}% máu</color>, <color=#FFFF00>{1}% khí</color>, <color=#FFFF00>{2}% nộ khí</color>",false
magic_ignore_target_defense,Bỏ qua toàn bộ phòng thủ của mục tiêu,false
magic_drag_target,Kéo mục tiêu về phía bản thân,false
magic_doubledamage_next_attack,Tăng gấp đôi sát thương ở lần đánh kế tiếp,false
magic_unable_to_use_skill,Không thể sử dụng kỹ năng khác,false
magic_blink_to_target,Di chuyển nhanh đến chỗ mục tiêu,false
magic_blink_to_position,Di chuyển nhanh đến vị trí chỉ định,false
magic_reset_all_skill_cd,Xóa bỏ toàn bộ thời gian phục hồi của tất cả các kỹ năng,false
magic_revive_death,"Hồi sinh đối phương, phục hồi: <color=#FFFF00>{0}% máu</color>, <color=#FFFF00>{1}% khí</color>, <color=#FFFF00>{2}% nộ khí</color>",false
magic_reduce_skill_cast_time,Giảm thời gian vận khí của <color=#00FF00>{0}</color>: <color=#FFFF00>{1} giây</color>,false
magic_chaining_no_interupt,Sử dụng kỹ năng không bị gián đoạn,false
magic_reduce_chaining_time,Giảm thời gian duy trì tất cả kỹ năng thi triển liên tục: <color=#FFFF00>{0}%</color>,false
magic_skill_always_hit,Tỷ lệ đánh trúng của tất cả kỹ năng: <color=#FFFF00>100%</color>,false
magic_invisibility,Tàng hình: <color=#FFFF00>Cấp {0}</color>,false
magic_swap_position,Thay đổi vị trí với mục tiêu,false
magic_see_hidden_trap,Có thể phát hiện cạm bẫy xung quanh,false
magic_activate_trap,Kích nổ cạm bẫy <color=#00FF00>{0}</color> ngay lập tức,false
magic_summon_puppet,"Triệu hồi ly nhân, tồn tại trong <color=#00FF00>{0} giây</color>",false
magic_callback_puppet,Thu hồi ly nhân đang tham chiến,false
magic_swap_puppet_position,"Thay đổi vị trí với ly nhân, tấn công mục tiêu trên đường đi",false
magic_see_invisibility_low,"Phát hiện tàng hình: <color=#FFFF00>Cấp 2 trở xuống</color>, khi cấp độ bản thân lớn hơn đối thủ <color=#FFFF00>10 cấp trở lên</color>",false
magic_see_invisibility_high,"Phát hiện tàng hình: <color=#FFFF00>Cấp 3 trở xuống</color>, khi cấp độ bản thân lớn hơn đối thủ <color=#FFFF00>10 cấp trở lên</color>",false
magic_ignore_target_res,Bỏ qua toàn kháng thuộc tính của mục tiêu,false
magic_skill_always_crit,Tỷ lệ hội tâm nhất kích của tất cả kỹ năng: <color=#FFFF00>100%</color>,false
magic_negate_dead,"Từ chối tử thần, sinh lực giảm tối đa về 1",false
magic_skill_start_event,Có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_collide_event,Đánh trúng mục tiêu có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_vanish_event,Sau khi kết thúc có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_autoskill,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_call_skill_random,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_2,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_3,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_4,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_5,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_6,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_7,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_8,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_9,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_10,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_11,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_12,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_13,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_14,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_15,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_16,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_17,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_18,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_19,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_random_20,Ngẫu nhiên kích hoạt: <color=#00FF00>{0}</color>,false
magic_call_skill_base_on_buff,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_2,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_3,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_4,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_5,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_6,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_7,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_8,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_9,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_10,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_11,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_12,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_13,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_14,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_15,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_16,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_17,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_18,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_19,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_buff_20,Khi có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_start_event_2,Có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_collide_event_2,Đánh trúng mục tiêu có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_vanish_event_2,Sau khi kết thúc có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_start_event_3,Có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_collide_event_3,Đánh trúng mục tiêu có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_vanish_event_3,Sau khi kết thúc có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_start_event_4,Có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_collide_event_4,Đánh trúng mục tiêu có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_vanish_event_4,Sau khi kết thúc có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_start_event_5,Có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_collide_event_5,Đánh trúng mục tiêu có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_vanish_event_5,Sau khi kết thúc có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_start_event_6,Có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_collide_event_6,Đánh trúng mục tiêu có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_vanish_event_6,Sau khi kết thúc có tỷ lệ <color=#FFFF00>{0}%</color> kích hoạt: <color=#00FF00>{1}</color>,false
magic_autoskill_2,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_autoskill_3,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_autoskill_4,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_autoskill_5,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_autoskill_6,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_autoskill_7,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_autoskill_8,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_autoskill_9,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_autoskill_10,{0} có tỷ lệ <color=#FFFF00>{1}%</color> kích hoạt:,false
magic_call_skill_base_on_target_buff,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_2,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_3,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_4,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_5,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_6,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_7,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_8,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_9,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_10,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_11,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_12,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_13,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_14,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_15,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_16,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_17,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_18,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_19,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_call_skill_base_on_target_buff_20,Khi mục tiêu có <color=#FFFF00>{0}</color> sẽ kích hoạt: <color=#00FF00>{1}</color>,false
magic_skill_conflict,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_2,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_3,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_4,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_5,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_6,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_7,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_8,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_9,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_10,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_11,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_12,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_13,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_14,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_15,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_16,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_17,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_18,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_19,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_skill_conflict_20,Không tác dụng cùng <color=#00FF00>{0}</color>,false
magic_require_buff,Yêu cầu trạng thái <color=#00FF00>{0}</color>,false
magic_require_invisibility,Chỉ sử dụng được khi ở trạng thái <color=#00FF00>tàng hình</color>,false
magic_require_puppet,<color=#ffb3eb>Chỉ sử dụng được khi có ly nhân</color>,false
magic_activate_at_puppet,<color=#ffb3eb>Ảnh hưởng tại vị trí của ly nhân</color>,false
magic_skill_eighthbook_diff,Căn cứ theo <color=#FFFF00>độ lệch tâm pháp</color> của quyển <color=#00FF00>bí tịch thứ 8</color>,false
magic_instant_enemy_buff,,false
